name of the site,location(x_y),area, areaX, perimeter, perimeterX, areaEnclosingCircle, areaFitEllipse, areaMinAreaRectangle, eccentricity, orientation, convexity, 0degDiam, 45degDiam, 90degDiam, 135degDiam
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 3326_1348,5.75E-16,7.07E-16,9.06E-08,1.08E-07,6.65E-16,2.36E-15,7.23E-16,0.944011457,93.02793884,0.975216853,5.98E-08,5.64E-08,5.81E-08,5.73E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 3510_1350,5.66E-16,6.99E-16,9.14E-08,1.09E-07,6.61E-16,2.28E-15,7.23E-16,0.924732886,83.56933594,0.96875,5.98E-08,5.64E-08,5.81E-08,5.47E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 3604_1350,6.10E-16,7.49E-16,9.47E-08,1.16E-07,6.82E-16,2.45E-15,7.89E-16,0.952871131,97.43769836,0.970383275,5.81E-08,5.73E-08,5.81E-08,5.55E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 3698_1348,5.75E-16,7.08E-16,9.14E-08,1.09E-07,6.41E-16,2.34E-15,7.47E-16,0.962105166,112.3467941,0.970406905,5.73E-08,5.64E-08,5.81E-08,5.64E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 3790_1350,5.84E-16,7.16E-16,9.06E-08,1.08E-07,6.44E-16,2.38E-15,7.24E-16,0.947545322,88.03923798,0.978593272,5.81E-08,5.64E-08,5.81E-08,5.55E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 174_1352,5.60E-16,6.91E-16,9.04E-08,1.06E-07,6.47E-16,2.30E-15,7.01E-16,0.912298289,87.15540314,0.971518987,5.64E-08,5.47E-08,5.81E-08,5.47E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 1194_1350,5.87E-16,7.21E-16,9.19E-08,1.09E-07,6.77E-16,2.38E-15,7.47E-16,0.912337272,95.6142807,0.973939394,5.98E-08,5.64E-08,5.81E-08,5.47E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 1472_1350,5.44E-16,6.72E-16,8.87E-08,1.04E-07,6.12E-16,2.24E-15,6.79E-16,0.944684272,89.23042297,0.97256695,5.98E-08,5.81E-08,5.81E-08,5.47E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 1564_1350,5.56E-16,6.86E-16,8.94E-08,1.06E-07,6.30E-16,2.26E-15,7.01E-16,0.944548487,100.2320175,0.972541507,5.81E-08,5.64E-08,5.81E-08,5.55E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 1846_1352,5.68E-16,6.99E-16,8.99E-08,1.06E-07,6.60E-16,2.33E-15,6.99E-16,0.909540665,91.90532684,0.978616352,5.55E-08,5.30E-08,5.81E-08,5.47E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 3882_1350,5.24E-16,6.51E-16,8.65E-08,1.03E-07,5.85E-16,2.14E-15,6.56E-16,0.946252135,92.18760681,0.975543478,5.73E-08,5.55E-08,5.81E-08,5.64E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 3974_1352,5.21E-16,6.49E-16,8.82E-08,1.04E-07,5.97E-16,2.13E-15,6.78E-16,0.948281179,107.4519806,0.965470548,5.81E-08,5.47E-08,5.81E-08,5.55E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 1240_1420,5.49E-16,6.80E-16,8.91E-08,1.08E-07,6.03E-16,2.21E-15,7.15E-16,0.971423579,87.98021698,0.969677419,5.98E-08,6.07E-08,5.81E-08,5.81E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 868_1422,5.79E-16,7.13E-16,9.19E-08,1.09E-07,6.61E-16,2.35E-15,7.47E-16,0.949513033,99.00323486,0.972426471,6.15E-08,6.07E-08,5.81E-08,5.90E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 3928_1422,5.95E-16,7.28E-16,9.09E-08,1.09E-07,6.63E-16,2.41E-15,7.47E-16,0.960351122,92.65353394,0.981916817,5.90E-08,5.98E-08,5.81E-08,5.98E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 312_1426,5.44E-16,6.72E-16,8.80E-08,1.03E-07,6.11E-16,2.24E-15,6.57E-16,0.962640899,100.6935349,0.97578534,5.81E-08,5.30E-08,5.81E-08,5.47E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 590_1424,5.80E-16,7.13E-16,9.14E-08,1.09E-07,6.60E-16,2.35E-15,7.47E-16,0.937966003,87.94717407,0.971848225,5.73E-08,5.64E-08,5.81E-08,5.64E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 774_1426,6.18E-16,7.56E-16,9.43E-08,1.13E-07,6.91E-16,2.50E-15,7.94E-16,0.945475068,95.93541718,0.972988506,5.98E-08,5.55E-08,5.81E-08,5.47E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 960_1424,5.62E-16,6.92E-16,8.94E-08,1.06E-07,6.36E-16,2.30E-15,7.02E-16,0.973526547,60.87886047,0.973434535,5.90E-08,5.73E-08,5.81E-08,5.47E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 1336_1426,5.45E-16,6.72E-16,8.75E-08,1.03E-07,6.17E-16,2.25E-15,6.57E-16,0.955838346,115.6953354,0.982894737,5.81E-08,5.30E-08,5.81E-08,5.55E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 1708_1426,5.51E-16,6.82E-16,8.96E-08,1.08E-07,6.16E-16,2.22E-15,7.08E-16,0.965860338,102.4519424,0.971023825,5.64E-08,5.30E-08,5.81E-08,5.55E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 2078_1424,6.35E-16,7.76E-16,9.67E-08,1.16E-07,7.01E-16,2.56E-15,8.32E-16,0.965137247,124.5239563,0.969342252,5.81E-08,5.81E-08,5.81E-08,5.64E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 2630_1424,5.71E-16,7.04E-16,9.11E-08,1.08E-07,6.46E-16,2.34E-15,7.24E-16,0.974927624,104.9093018,0.969040248,6.07E-08,5.98E-08,5.81E-08,5.55E-08
OneDrive_MicronDRAM_Middle_20210121_DMprecision_Run01_Die(-3_2)(0_2)_01, 2728_1426,5.90E-16,7.24E-16,9.19E-08,1.09E-07,6.52E-16,2.38E-15,7.47E-16,0.947876856,76.85760498,0.974065139,5.73E-08,5.55E-08,5.81E-08,5.55E-08
